,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19
XC452519,-475.5192,11.214679,-11.72418,2.0780509,-2.397106,-4.752113,-1.4884412,-3.6956425,-5.2821765,-0.82348406,-4.3825607,1.250469,-5.726595,0.7802167,-3.5268948,-0.12719677,-4.2218738,0.5882652,-4.0108256,1.2473367
XC129399,-615.3096,21.342947,-10.604116,20.67751,-6.803801,-1.3044403,-10.815584,-8.883214,-6.071277,-2.8056095,-17.370714,1.0412307,-6.8198953,-3.5559235,-6.1235895,-3.2188406,-7.429398,2.396085,-10.160081,-3.9215894
XC17802,-444.89774,151.01216,59.035553,29.275976,18.55157,20.367516,15.57612,8.695598,5.6705155,9.309594,2.523646,7.3608556,5.7409325,5.3038244,4.441726,4.909914,1.7476821,5.162204,4.6894574,4.1608944
XC475183,-377.09744,-8.714237,-43.523785,-1.799865,-21.254038,-2.026454,-11.682352,0.5647326,-2.941271,-0.3266512,-2.7074847,4.636841,-1.8003494,1.3997518,2.9109943,1.8932009,-2.2647512,3.6225421,-2.1045995,3.0522602
XC111830,-623.79663,-1.875781,-40.169956,-15.163037,-24.722067,-12.56966,-10.515661,-8.967524,-8.174007,-2.772087,-8.599355,-1.5677494,-7.57443,-2.048893,-8.499415,1.1272767,-3.4111774,-1.606785,-4.245789,0.8602313
XC217703,-559.381,6.2442703,-49.762184,9.648027,7.6456637,-4.3282013,-7.1120224,-5.63935,-7.1111727,5.56594,-8.318069,-1.3243159,-5.198665,1.1573678,-0.890919,0.62094504,-4.104576,0.556874,-4.1749897,-0.4512088
XC240260,-493.12732,122.21282,1.0128711,24.807537,-13.886533,12.210881,4.015283,3.6165679,-1.7227174,2.154393,-6.5351634,4.037978,-7.31195,2.8210816,-1.4786316,-1.3062949,-4.6894164,1.2050972,-5.381125,2.643815
XC289247,-201.40382,51.277657,-151.37827,-72.79427,-58.64979,-24.47657,-38.562584,-29.369085,-16.803923,-2.0637164,-10.258591,-5.336866,-8.556362,1.7631658,-4.465045,6.831376,4.561146,7.770124,-3.171788,4.823453
XC452564,-522.5941,37.37405,-21.913328,15.963108,-3.3643997,1.383336,3.1612878,-4.255255,4.91584,-0.030355213,-1.2271596,2.8862784,-1.3478311,1.0531496,1.5592824,0.5356565,0.6942977,1.6015829,-1.2385204,-1.068269
XC176539,-439.8183,21.544367,-30.164145,21.496433,-2.7607458,-7.009874,-9.265522,-0.6463944,-10.81799,-0.046837427,-8.872015,1.8426013,-3.431757,2.3847756,-3.7406218,5.8479595,-1.2179307,4.670985,0.7744973,5.661312
