mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19
-432.8862,125.67061,-7.8293076,-11.632088,-22.205627,-8.699431,1.6769713,7.3434935,4.4892464,17.17936,7.5533996,-2.251338,-13.861993,-6.968695,-1.1866357,6.361087,7.3904533,2.5877767,6.8781314,5.8387465
-430.6168,117.07828,-18.711668,-18.339294,-23.767262,-6.498265,-0.11960128,14.084432,18.90567,25.588844,10.381062,4.8475847,-13.557875,3.0662403,-1.5125778,1.3898833,3.2534769,5.0178432,14.54127,11.743368
-453.8891,112.59741,-24.3404,-15.815266,-21.127329,-6.3198013,-2.7119927,14.477314,25.630886,27.271168,17.678371,10.6066675,-9.9033165,13.122296,1.4438248,-1.1207368,-0.18942529,3.3913448,7.6003437,6.576684
-442.9214,105.19925,-15.577959,-12.328056,-21.85347,-4.655306,0.7645598,21.771309,22.013126,21.201534,19.626482,13.940538,-13.752274,13.76894,4.915023,8.6078005,0.41100025,7.1696243,9.918905,6.411869
-452.71173,108.64777,-11.817066,-9.741793,-22.557549,-8.330775,-1.9781336,28.034195,28.34935,25.556948,17.577108,7.371843,-16.198008,12.18977,7.1209145,11.559479,4.4212427,7.7377467,7.4867373,6.8087006
-468.42795,127.61783,-16.295692,-10.580866,-20.963982,-11.319077,1.5814297,23.437452,25.71486,30.586437,17.626585,-3.5544822,-12.200897,9.538099,0.58005655,-2.2558255,6.4662237,8.18261,10.148597,7.010103
-476.69232,129.14891,-19.98206,-12.025255,-26.906197,-15.017904,3.298747,18.242683,29.20366,34.541817,11.907541,-5.1970797,-7.128377,13.942923,-0.33401215,-6.5259533,5.226172,15.909563,15.866563,6.366651
-477.4426,126.8858,-20.756065,-15.933468,-30.566704,-15.173342,2.8461661,15.590986,30.20834,39.517982,8.31468,-3.8467975,-1.7681799,15.326708,10.788451,4.3724737,11.928677,20.84763,7.260209,6.4511404
-479.6893,120.556625,-22.842833,-14.542448,-26.29589,-15.236876,5.7355304,14.408873,24.844303,38.2629,6.310582,-2.6542373,-3.0517237,12.136097,9.176397,6.4149384,6.5206356,16.12702,4.2100134,-3.6724918
-476.46274,123.676956,-23.998894,-10.243982,-23.478117,-13.319354,5.29131,13.910656,21.86573,34.12109,9.22951,1.5068195,-6.9811425,11.619062,5.845569,4.6392603,0.8833383,11.94153,11.574337,0.2525236
-471.40448,125.44592,-24.337107,-9.31283,-24.447273,-7.6718884,13.94512,15.490916,19.965084,34.48576,16.703041,0.21257836,-14.011435,9.562212,4.8414087,3.073176,-2.5752091,14.968658,13.28364,6.5302854
-477.19376,120.96768,-26.464397,-7.43668,-23.282852,-8.283983,14.48821,8.794477,21.67603,36.414627,12.411701,-7.007587,-19.02629,4.7889066,10.132399,3.767457,0.6833077,15.55896,4.818837,9.817152
-474.08493,126.03638,-27.214294,-6.2732735,-29.381205,-20.236876,15.677229,10.218943,24.837044,39.70067,12.80454,-3.4551013,-6.1378174,13.436005,12.514124,4.0770826,2.0604434,13.90688,1.4331238,4.837016
-472.42142,117.32875,-32.659073,-8.208604,-25.375263,-25.32764,15.273063,16.10074,22.217413,36.79165,17.3478,2.2120647,-1.0271252,19.777771,11.381285,1.4566512,0.09517589,11.741554,10.969391,7.683533
-484.7552,111.996216,-29.00999,-8.623989,-25.142601,-24.948734,6.6257343,16.28254,15.879158,40.81859,20.044443,4.373377,4.2411757,19.32471,10.515068,6.5333023,7.4017467,18.002396,13.230614,11.61059
-474.111,107.08725,-22.10931,-4.0476108,-26.49472,-15.420395,1.1697127,17.270195,15.42362,42.901543,14.292067,1.4011836,3.9382362,17.64132,11.594805,4.1047587,5.5131416,16.164135,10.196833,7.61814
-461.30637,104.616104,-16.79321,6.7182794,-21.770622,-11.011436,3.6981983,22.091316,16.805965,33.51293,11.390032,-8.810707,-5.6508484,12.199324,8.612504,5.732953,-4.718151,10.681923,10.92576,9.550911
-450.36954,105.89917,-14.376772,8.820349,-17.119781,-7.7171836,3.7830033,22.29306,21.167507,32.071095,13.261905,-2.588371,-6.168332,5.197097,3.4100242,9.032057,-10.2243805,3.7627144,10.580133,5.737422
-467.63852,113.71477,-17.885443,0.28722212,-20.203129,-13.00779,3.2602744,13.62791,15.283049,38.319122,11.204468,-2.1111865,-2.1862168,0.75754577,-1.757092,4.5415916,-5.4990683,2.030479,8.090367,6.622969
-478.9432,125.56497,-10.688931,1.9989856,-22.080772,-12.175336,7.9416323,10.280346,9.3279295,39.339676,11.685156,-2.4798052,9.767368,11.309967,-1.4213737,8.304111,-2.287507,6.6385455,8.828449,10.116604
-480.62714,120.78253,-10.559021,1.554265,-20.43694,-10.61945,10.296464,8.8086195,12.001589,29.15812,3.6539893,-3.905343,12.755919,14.288593,-6.389941,-0.69394124,-2.5732346,4.3861446,16.337135,23.96466
-476.8668,120.91498,-13.867222,-2.2550297,-26.58954,-4.5415416,17.83534,12.76779,22.714897,34.13237,4.0582438,-9.163313,4.1275597,15.376986,0.3489794,4.14834,4.033898,-5.7826633,10.350414,24.401829
-488.54214,114.1577,-18.450932,-0.8462994,-34.761627,-3.9986985,20.697659,11.364199,29.173016,36.361496,8.273083,-5.254862,-1.9549103,17.99501,0.56384087,4.4659085,17.749401,3.4166524,15.7942705,20.613768
-496.81693,114.922806,-11.179178,2.1886494,-39.973656,-10.101793,11.854908,7.982568,33.64985,43.554855,9.449548,0.20464528,-4.0560384,15.192752,0.34335583,-4.267352,11.833943,-0.47660804,10.584183,25.193726
-494.39175,115.64261,-8.512001,-6.018113,-43.528343,-10.39814,7.55193,4.746822,24.850029,28.055138,5.7083015,7.6870327,-4.923804,14.6974945,10.436377,-9.222215,4.419709,0.817024,8.351297,26.58869
