mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,zcr_0
-336.47927999999996,132.15296999999998,35.7782,-9.062887,12.801496499999999,10.301496499999999,7.193492,0.9210796,3.8624632000000005,1.2387675,-1.3388643,4.587096,-3.2360365,4.284446,-5.618789700000001,-0.08684675,0.34152043,17.948970000000003,2.6703775000000003,0.29345077,0.013671875
-335.16577,140.21042,34.440365,-3.8354583,13.222999,15.177744,13.0609,-0.15609974,2.5287194,2.5591223,-0.50996953,3.8063637999999997,-5.024344999999999,5.6485205,-5.1595907,4.921805,-0.83731043,14.697638000000001,-0.48060107,7.452752,0.015625
-336.6562,147.46854,37.149315,5.772531,18.83931,27.841905999999998,21.296265,8.4347,3.2379203,0.6543608,-4.988942,7.1373034,-2.7365465,10.241026,-1.3201498999999999,13.039411999999999,-1.6097933,9.033485,-5.015167,15.540579999999999,0.0185546875
-334.76556,149.61456,29.954807000000002,-1.7290592,22.266758,32.614487,17.949032,10.728892,9.972873,-1.1188563999999999,-4.029651,11.755742999999999,-2.5833107999999996,11.293866,-1.9721883999999998,12.699038,-4.215221400000001,14.103939000000002,2.1877020000000003,21.001151999999998,0.0126953125
-338.81506,143.52252,23.297957999999998,-0.7182801,23.825253,29.158309999999997,18.194777,16.332634,13.940582999999998,2.8662376,0.109181285,15.733198999999999,-5.669674,6.7224226,-4.9225445,10.230167,-11.06525,9.849677,-3.7473883999999997,15.590895999999999,0.017578125
-335.79266,145.71616,29.542084000000003,-1.9388129,16.407928,18.595581,15.425354,19.255798000000002,14.27186,4.2607327,-4.983369000000001,9.823001,-11.389142999999999,1.1115865,-8.422092,12.569597,-4.3580904,11.566708,-2.4054412999999997,12.465301,0.017578125
-332.18365,149.28278,30.492003999999998,3.7722745000000004,18.376085,21.843332,27.997291999999998,22.26257,11.486763,-2.600091,-13.072819,1.2114568000000001,-10.102293,3.0510268,-12.453237,10.208666000000001,2.132003,16.399462,-3.7987907,12.557125,0.025390625
-330.41302,150.57849,25.621161999999998,6.082314,22.422207,30.888412,22.977833,13.086164,3.3438377,-11.761726,-8.875611,3.4787955000000004,-5.69794,9.728667999999999,-7.558565,12.449755999999999,1.0101829,10.860866999999999,-8.596848,9.53738,0.0400390625
-334.84225,151.82658,27.233356,0.77902865,18.63239,23.169006,11.375430999999999,9.831248,9.131753999999999,-6.85998,-6.764492,5.7845554,-14.897504999999999,9.570556,-7.6249375,9.4261875,-4.282337,6.7534350000000005,-6.339282,14.996936999999999,0.037109375
-335.28888,155.60622,31.380903000000004,-0.8734632,13.813085000000001,22.96101,14.497489999999999,12.067181,11.250122,-1.8724966,-9.560483,4.216355,-12.014886,8.718919999999999,-8.500812,6.976666499999999,-1.430165,13.444873999999999,-3.3771646,12.405823,0.0517578125
