melspec_0,melspec_1,melspec_2,melspec_3,melspec_4,melspec_5,melspec_6,melspec_7,melspec_8,melspec_9,melspec_10,melspec_11,melspec_12,melspec_13,melspec_14,melspec_15,melspec_16,melspec_17,melspec_18,melspec_19,melspec_20,melspec_21,melspec_22,melspec_23,melspec_24,melspec_25,melspec_26,melspec_27,melspec_28,melspec_29,melspec_30,melspec_31,melspec_32,melspec_33,melspec_34,melspec_35,melspec_36,melspec_37,melspec_38,melspec_39,melspec_40,melspec_41,melspec_42,melspec_43,melspec_44,melspec_45,melspec_46,melspec_47,melspec_48,melspec_49,melspec_50,melspec_51,melspec_52,melspec_53,melspec_54,melspec_55,melspec_56,melspec_57,melspec_58,melspec_59,melspec_60,melspec_61,melspec_62,melspec_63,melspec_64,melspec_65,melspec_66,melspec_67,melspec_68,melspec_69,melspec_70,melspec_71,melspec_72,melspec_73,melspec_74,melspec_75,melspec_76,melspec_77,melspec_78,melspec_79,melspec_80,melspec_81,melspec_82,melspec_83,melspec_84,melspec_85,melspec_86,melspec_87,melspec_88,melspec_89,melspec_90,melspec_91,melspec_92,melspec_93,melspec_94,melspec_95,melspec_96,melspec_97,melspec_98,melspec_99,melspec_100,melspec_101,melspec_102,melspec_103,melspec_104,melspec_105,melspec_106,melspec_107,melspec_108,melspec_109,melspec_110,melspec_111,melspec_112,melspec_113,melspec_114,melspec_115,melspec_116,melspec_117,melspec_118,melspec_119,melspec_120,melspec_121,melspec_122,melspec_123,melspec_124,melspec_125,melspec_126,melspec_127
0.12160298,0.44672233,0.29058963,1.399976,0.8790849,0.69897676,0.67010534,0.12469257,0.1873832,0.4421205,0.938629,1.740915,0.16725881,0.21304135,0.38305417,0.041100938,0.029922802,0.014596043,0.15866207,0.045960248,0.038204856,0.08559341,0.03734859,0.08968169,0.022965465,0.012271829,0.009833783,0.045282587,0.037560906,0.045925297,0.015082838,0.021585498,0.027016424,0.010396455,0.03264386,0.02366402,0.017733945,0.05187784,0.09980459,0.03862616,0.02136732,0.013883368,0.014534416,0.018965423,0.036266033,0.01168627,0.027511286,0.039651725,0.04883405,0.053028386,0.04233056,0.015268896,0.038603816,0.04265529,0.014690909,0.032694653,0.047161363,0.022724753,0.018521836,0.013628658,0.04233156,0.042664092,0.04828133,0.1378133,0.09604112,0.08450147,0.037931222,0.017192421,0.013337361,0.0070582805,0.014950437,0.032146133,0.025132297,0.012487949,0.019415814,0.018937675,0.018325044,0.022345092,0.03077769,0.019287853,0.0144706415,0.017785115,0.047292527,0.024273748,0.036705185,0.033727597,0.013611689,0.0106267445,0.011037851,0.009647336,0.011370151,0.0036504325,0.003489182,0.011053083,0.030974284,0.012769667,0.008886757,0.007858143,0.010510984,0.023487521,0.006800178,0.0063455533,0.017101483,0.020692915,0.021235954,0.024045452,0.018077804,0.005444184,0.0070683695,0.01217552,0.016599387,0.01277349,0.022985943,0.022624621,0.0070723225,0.0036929438,0.005713325,0.006436562,0.008446508,0.0068147825,0.009839016,0.008679442,0.009931269,0.021212809,0.010732982,0.0078820065,0.0041826037,0.00012196929
1.0215454,0.5965054,0.22484028,0.52455837,0.35451612,0.5179622,0.52114654,0.24994563,0.13430792,0.343326,0.6690153,0.90616494,0.112901166,0.18915324,0.14853345,0.18940245,0.17308529,0.053522907,0.25534704,0.101099476,0.024664756,0.046187494,0.085816815,0.061998945,0.04148121,0.028663568,0.0741957,0.1089763,0.04106082,0.122275874,0.08599293,0.026880275,0.0678769,0.043246225,0.09255771,0.081100106,0.04528579,0.074258134,0.19116098,0.04818349,0.035291295,0.03661874,0.02976118,0.03334356,0.04181682,0.018690938,0.057953298,0.058440525,0.04962416,0.086261295,0.062421855,0.037090473,0.12619352,0.08613735,0.042962193,0.052138783,0.10174766,0.07420137,0.044991553,0.024478842,0.038186517,0.02899875,0.04217422,0.19385698,0.22116175,0.16006994,0.060956713,0.060155604,0.025081797,0.008245119,0.026092993,0.033977058,0.021153945,0.013830618,0.040294316,0.018318675,0.019911123,0.018303504,0.018143294,0.016639423,0.023648236,0.02036412,0.04559247,0.02548509,0.03948399,0.03201048,0.02243562,0.030002022,0.023858849,0.010777938,0.025914157,0.012411479,0.0060355784,0.015297209,0.045643628,0.01916806,0.014663683,0.012133006,0.014425343,0.020420074,0.008980604,0.030532777,0.03831298,0.02888031,0.035953213,0.026808206,0.017315406,0.013219949,0.01755267,0.019999623,0.027928771,0.020734452,0.018227011,0.016578142,0.014483449,0.0139320195,0.016228111,0.011763589,0.015768083,0.008547253,0.015959313,0.011010229,0.0125636095,0.025055189,0.012851831,0.012045917,0.0059632766,0.0003081261
1.7173169,0.3668927,0.26491272,0.5841764,0.96424204,2.7562912,2.8580823,1.5433547,0.18319795,0.78478265,1.07914,1.0991296,0.4263585,0.22788441,0.08022205,0.38810074,0.36883855,0.16557834,0.23623095,0.11623207,0.022935957,0.048636734,0.084207304,0.07850193,0.097050756,0.06825877,0.10891887,0.1505678,0.050988138,0.09020165,0.1438899,0.04983939,0.044165336,0.04288787,0.047076732,0.043199267,0.07286799,0.041666172,0.08465563,0.032867387,0.022781935,0.12652001,0.09653001,0.045424175,0.016439196,0.03263133,0.045271423,0.017938634,0.06514608,0.11618032,0.056004353,0.036864605,0.11028656,0.06872391,0.058742613,0.048089623,0.06390044,0.07212519,0.040324815,0.038352586,0.018324118,0.014478737,0.062728025,0.14254808,0.18473294,0.11730656,0.06996824,0.07354551,0.027045313,0.013509838,0.03725429,0.038097065,0.036060918,0.016523775,0.0554137,0.040081378,0.016094055,0.015316809,0.016599003,0.030966632,0.05242719,0.026281137,0.032355003,0.046417728,0.030801028,0.033042032,0.02468675,0.025924219,0.045560386,0.01758069,0.03689938,0.022888657,0.01091248,0.016381323,0.036709324,0.017946087,0.021209095,0.019734172,0.01915394,0.018020224,0.0141132595,0.033652842,0.035637066,0.025062794,0.030050643,0.027083892,0.029996725,0.024599267,0.027737528,0.026668401,0.033636328,0.020560281,0.01932322,0.021627048,0.023589695,0.02313392,0.020134281,0.012542164,0.025612237,0.01649992,0.034031898,0.019786332,0.017713752,0.027565964,0.015113156,0.017678972,0.0069038207,0.0005506782
4.3172913,0.71784055,0.44135186,1.8185731,0.93280333,3.8814619,3.408437,1.8863931,0.3017139,1.127357,0.77289766,0.8332821,0.51119626,0.36844927,0.17982082,0.2926299,0.13859242,0.14623545,0.14932555,0.1463924,0.026430974,0.20042397,0.11276578,0.06367596,0.15203564,0.084278576,0.063141465,0.1119491,0.09646392,0.08642007,0.1862691,0.14414346,0.032130964,0.05229628,0.029583324,0.025495127,0.03806451,0.053917434,0.040431354,0.014544009,0.0075088837,0.093519114,0.085541174,0.027832722,0.018446937,0.021385262,0.03325767,0.03616595,0.036934786,0.06600892,0.036015417,0.009373496,0.041376494,0.083087035,0.06630038,0.02174931,0.025850497,0.05103818,0.026081353,0.025100905,0.026447028,0.08443329,0.107668065,0.16004726,0.17942761,0.13885328,0.042831235,0.06346004,0.022966241,0.020264871,0.0450767,0.03010979,0.036612105,0.02315823,0.038796544,0.074057736,0.011158002,0.017343506,0.02295681,0.040161945,0.08380093,0.039339174,0.05000583,0.051239844,0.027374232,0.030760096,0.026558349,0.017051205,0.019196881,0.012659662,0.02082989,0.023366503,0.017082412,0.01204531,0.021484297,0.013431833,0.022431528,0.018823555,0.019485144,0.023733879,0.023108704,0.025363758,0.025783034,0.029027143,0.027513275,0.028107135,0.03719353,0.021746553,0.020552361,0.03298037,0.02936316,0.01718604,0.024530979,0.016955327,0.019023629,0.022964045,0.01875169,0.0153961135,0.024962196,0.02130714,0.03038384,0.018021993,0.017021278,0.019731248,0.018837232,0.022087185,0.006955848,0.00047447314
4.8704524,0.95632845,0.8680127,1.9855444,0.37225503,0.88346404,0.68676484,0.5639144,0.54084575,1.3334723,0.32372355,0.36786437,0.3942488,0.27909428,0.21844181,0.92349786,0.17714696,0.08779013,0.16778205,0.1128681,0.02774719,0.19295575,0.20009169,0.056601577,0.046559636,0.027592983,0.04592709,0.06603614,0.11097084,0.14106096,0.09716949,0.0984908,0.017413035,0.04749916,0.11290871,0.076324545,0.046034254,0.015478413,0.027192395,0.046363402,0.025205232,0.023659686,0.049798604,0.03249447,0.03386422,0.041997693,0.048498575,0.07574258,0.033634923,0.06273782,0.053104673,0.009361018,0.039583556,0.031808857,0.034653213,0.02807767,0.010722596,0.021255014,0.01969102,0.026069086,0.032096323,0.08811229,0.04685709,0.08364638,0.1451096,0.16049382,0.027513819,0.045891594,0.01118243,0.014402497,0.06341852,0.042406373,0.03941137,0.024063952,0.023540657,0.028285343,0.016358651,0.01573969,0.029461296,0.041629538,0.07326433,0.035062417,0.032962624,0.020059802,0.018894196,0.019571163,0.021628438,0.018187096,0.009034136,0.008422181,0.01803194,0.023203656,0.015230238,0.011250185,0.021584108,0.013346277,0.018692194,0.011928805,0.0138336625,0.047895476,0.02991974,0.025542518,0.025968555,0.024986159,0.026989834,0.035794463,0.02560238,0.015588972,0.01779831,0.021051815,0.016408594,0.016073136,0.024611393,0.02103839,0.017063404,0.01655861,0.025188355,0.024618872,0.040304124,0.029811956,0.029463258,0.019805301,0.017572535,0.020506913,0.023999678,0.017471131,0.005806749,0.00039715346
1.2415522,0.7573788,1.9806868,1.6601839,0.6270286,0.63008624,0.55822235,0.76343465,1.0750506,2.2036788,0.69523513,0.4733472,0.5610819,0.812588,0.3346495,1.1338912,0.3424401,0.085224345,0.0661225,0.05327573,0.02966474,0.09705759,0.14494577,0.10918333,0.031380776,0.03163264,0.096691065,0.13238509,0.17875138,0.056897294,0.049021393,0.10068944,0.010406376,0.030215228,0.15301226,0.14495742,0.073597364,0.05401948,0.023751564,0.023641208,0.03466837,0.038087267,0.03621728,0.061137334,0.02927903,0.033973567,0.01891632,0.016784595,0.034566533,0.05490743,0.036595024,0.033331975,0.030576086,0.018459255,0.028708855,0.028990893,0.019190859,0.028456006,0.03336793,0.02788598,0.0418123,0.06358953,0.025162626,0.07607686,0.2071694,0.09738901,0.05834218,0.029231247,0.020584289,0.020418575,0.05699253,0.047487125,0.047336027,0.023785498,0.021908447,0.012845954,0.026992623,0.016336907,0.039512638,0.041826874,0.047120105,0.028158933,0.034181304,0.020244773,0.0126139475,0.019221306,0.012307912,0.021320324,0.010904816,0.023195762,0.017671673,0.03180962,0.020702746,0.01618419,0.028743297,0.02342494,0.030665712,0.023251941,0.031400573,0.06616307,0.028693024,0.022952333,0.01918945,0.015586716,0.032767788,0.035094853,0.019176383,0.0094751865,0.015842525,0.018645309,0.015992317,0.015367584,0.021439444,0.021625433,0.03463974,0.02858277,0.030095236,0.021492932,0.031703446,0.021604223,0.027925938,0.016678797,0.017482981,0.024147736,0.019177714,0.015342702,0.005868152,0.00034919838
0.3655811,0.26927727,1.3937964,1.2167814,2.1274378,2.6747305,3.6879642,0.80425185,0.54718834,1.146939,1.2065458,0.21888591,0.4805723,1.6029519,0.4830446,0.43792254,0.22918294,0.066810116,0.043068662,0.03137425,0.04800543,0.056308463,0.11078719,0.053322446,0.07213492,0.032203596,0.08890961,0.1977673,0.042744152,0.021148434,0.048354957,0.078982085,0.016236296,0.07114591,0.16554712,0.049084496,0.06491553,0.04943125,0.022368833,0.0065152203,0.07272637,0.10612285,0.051735945,0.09680486,0.033267632,0.019050922,0.012821885,0.0062369583,0.016370123,0.04404427,0.021787418,0.0272399,0.067775495,0.0314142,0.0343935,0.0205266,0.024652103,0.041582573,0.039790373,0.07101546,0.0698545,0.09245147,0.04844974,0.15236105,0.27033573,0.11258511,0.058924917,0.035880767,0.024205374,0.021909615,0.024035588,0.0350194,0.029913211,0.022150941,0.03929099,0.040966544,0.03416293,0.02159081,0.04130352,0.016068863,0.024085183,0.021055918,0.040843062,0.02643444,0.013504174,0.01627048,0.018794626,0.027853003,0.015835775,0.02899477,0.025513478,0.027325982,0.019224009,0.032749817,0.024045536,0.024640098,0.023593105,0.032028366,0.038836103,0.04200851,0.024619052,0.017521724,0.01592573,0.022289116,0.038275197,0.033577174,0.016243225,0.0065552504,0.014262321,0.016271917,0.013889194,0.01958528,0.024151113,0.019661482,0.028119603,0.023822509,0.01574945,0.013906408,0.01870911,0.018099375,0.02306832,0.013262403,0.02634661,0.030493306,0.021573517,0.025507437,0.00734888,0.00033741657
0.22547098,0.19354297,0.6470177,1.298213,1.8286818,6.06924,3.8514242,0.41063195,0.35785815,0.3634157,1.1713701,0.38535535,0.6987374,0.98179543,0.7368105,0.45095134,0.15356146,0.040808935,0.02449634,0.031192947,0.0587146,0.061425578,0.052748915,0.06456614,0.19725253,0.123637594,0.11226823,0.12034453,0.06278226,0.026406812,0.06429191,0.12937033,0.038590655,0.087741375,0.12764782,0.04174098,0.07215337,0.053213987,0.027140232,0.05153143,0.13482445,0.08891983,0.03520362,0.055153254,0.035212312,0.02216124,0.020310478,0.010156721,0.071722575,0.060885374,0.014557629,0.03207454,0.037680954,0.024942068,0.023685133,0.023128081,0.020135239,0.033028867,0.038196508,0.063633285,0.034273785,0.038572155,0.050274268,0.14583923,0.19737937,0.07224245,0.035581026,0.054487444,0.035136536,0.034743015,0.03326769,0.06886231,0.05317208,0.023811137,0.030667549,0.051909246,0.04459903,0.01873689,0.036501806,0.015494299,0.007123751,0.018074993,0.040736336,0.031672545,0.025753366,0.0301912,0.031040438,0.025605552,0.024990775,0.018606503,0.025408965,0.037569866,0.024040075,0.033257287,0.031549197,0.014812603,0.013472567,0.01835925,0.027110267,0.021825712,0.014280405,0.018042706,0.024447475,0.025535598,0.04363519,0.03336442,0.017809952,0.011841232,0.01538199,0.01824834,0.017702121,0.020392979,0.017603908,0.026408903,0.016554208,0.01820814,0.019595934,0.020897191,0.02156604,0.017045448,0.020304987,0.015476021,0.020544058,0.021909876,0.023391264,0.027138079,0.0066534476,0.0003159537
0.6721682,0.3514434,0.23617564,0.53591156,0.5870498,3.7267451,1.7618529,0.31652448,0.7139013,0.83139265,0.81653696,0.9300674,0.5029519,0.31451967,0.39452383,0.4370757,0.24358533,0.05415755,0.034008443,0.040248767,0.031472974,0.048087846,0.056241367,0.08864796,0.1334195,0.10637203,0.092478916,0.11976825,0.13391186,0.03535011,0.04227203,0.11589046,0.045700412,0.05132912,0.1814872,0.14779462,0.09345849,0.05783039,0.034364797,0.14592241,0.16790876,0.030335683,0.07252437,0.040084757,0.07288139,0.038534686,0.032457225,0.039839614,0.1292706,0.06145741,0.017517772,0.03913787,0.05412076,0.028046679,0.030807426,0.03361514,0.038090236,0.0463217,0.03619841,0.03772507,0.013006655,0.048491716,0.0657714,0.07433334,0.13313362,0.06499255,0.02148314,0.04046085,0.032193083,0.031096129,0.02882848,0.05053117,0.03375178,0.02559795,0.027883176,0.034414016,0.032825343,0.029722465,0.02152188,0.015726795,0.0138187185,0.033473793,0.029062593,0.043865047,0.025742598,0.042117283,0.04294195,0.03766247,0.030418651,0.030606652,0.022617588,0.032247365,0.025061442,0.032297518,0.031922393,0.025687449,0.023392936,0.035862032,0.025009511,0.01214086,0.010239913,0.01889903,0.03350122,0.021465998,0.04000367,0.021801846,0.02128778,0.014403555,0.021470807,0.022282813,0.017431546,0.033810068,0.032705393,0.030547667,0.023562469,0.022302864,0.021631243,0.027752537,0.026151458,0.02551057,0.02659975,0.025517454,0.015026295,0.012139315,0.018679423,0.015675774,0.0063312985,0.00037700968
0.6832246,0.7812798,0.9334076,0.73991734,1.112964,1.0463322,0.4599073,0.8847515,0.5697378,1.054716,0.33937818,0.9626334,0.91716844,0.87130404,0.35286167,0.05912185,0.19257122,0.04782655,0.03351161,0.0574982,0.035928298,0.08313024,0.05816959,0.065088905,0.06442863,0.11838038,0.13262366,0.3264308,0.1803341,0.095352836,0.054646246,0.026773293,0.017767737,0.094710305,0.14995843,0.08995383,0.070203125,0.06806415,0.03193683,0.08033989,0.066915415,0.032461464,0.09137363,0.044284523,0.120391496,0.071474545,0.052529074,0.036281012,0.07414349,0.03541376,0.03387889,0.09901558,0.0754776,0.035101183,0.048255004,0.068853095,0.0816387,0.072085164,0.030036937,0.028840398,0.01968583,0.046585858,0.14363344,0.09331619,0.093284026,0.055947386,0.04919295,0.07473682,0.037416887,0.025700705,0.043041933,0.036133204,0.036045607,0.030732527,0.016658919,0.042161975,0.027030256,0.032322675,0.044913474,0.028577471,0.024393301,0.031945422,0.041745983,0.03155604,0.00995752,0.03946643,0.046543334,0.08513743,0.020730786,0.029338771,0.027275784,0.03965043,0.027716894,0.035547215,0.02050684,0.024755571,0.017130986,0.026328472,0.02219471,0.018855205,0.015706027,0.024447063,0.024497798,0.019588925,0.023066375,0.0142047675,0.015515223,0.01682456,0.027005995,0.01550043,0.011720965,0.024322193,0.028419927,0.033002384,0.028851267,0.016418723,0.021201111,0.021440126,0.018871287,0.025582505,0.027091596,0.024883969,0.017759351,0.017945854,0.021639807,0.0115913525,0.005364569,0.00041702433
