mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19
-225.91379,137.05011,36.999004,13.366985,14.928287,12.599474,12.612996,13.226858,20.499973,-6.238075,8.511473,5.4063687,12.060883,-3.2565699,-2.797645,-6.76792,0.22577143,3.0165668,2.8189096,-1.2651589
-233.82394,138.2422,19.59579,22.271236,5.1146936,11.830879,12.218281,12.820578,18.771755,-2.3560705,8.137463,6.7260237,13.238289,-0.015812624,-1.9363338,-7.835289,-2.85356,-1.999171,1.5828537,-2.0572174
-237.60484,144.81912,1.7845812,43.835068,-5.9233313,24.972977,4.736228,16.24552,9.047354,10.731852,0.09243587,7.309,2.0221496,8.12741,-1.5100067,1.2726982,2.3529687,2.3722644,-0.6765086,1.3110847
-227.40923,155.85199,5.8253145,42.27665,-9.767304,24.591934,6.711245,14.475302,11.253145,17.24438,2.884564,5.6929164,-0.82096136,5.9126277,0.01688239,7.433364,8.575487,5.4784803,-0.7265769,2.4801893
-233.85551,153.82843,8.787201,44.072235,-7.2064447,25.035172,8.614632,14.50292,11.767107,19.163673,5.4456387,11.589877,6.0865602,13.676008,0.20351838,6.67898,11.077578,4.2073355,-4.5581703,1.9286108
-243.43828,144.36444,11.012428,46.51272,-3.7544694,27.770382,5.022163,13.75177,6.991804,14.783246,9.0474205,18.391418,8.367631,11.5265255,2.95347,8.714687,8.803733,3.891714,-2.2589464,5.0320783
-236.05632,151.52722,11.325003,43.18585,-5.869945,29.072542,-0.9390062,11.706043,8.619166,21.26104,13.185432,15.491079,2.4132981,7.955629,6.763839,7.635252,1.7675931,5.176564,2.1537013,0.92980295
-234.77144,145.5818,6.5178623,42.23475,-6.2840266,28.998833,3.517472,13.6737175,8.042878,19.80975,7.8374615,15.422593,3.9676354,4.790991,3.870326,-1.1861258,-2.237199,3.2412887,-0.972376,2.6579752
-235.4357,140.01129,-3.6890125,36.83042,-10.31452,25.875504,5.001236,17.487385,8.979902,22.811493,3.9551625,12.2274685,0.5647813,1.333322,-1.0204096,-2.1198683,1.5928907,3.7347393,6.9820538,8.874624
-223.16795,149.97635,-11.872786,32.60074,-5.0516167,27.845215,6.2588196,14.903523,7.2481995,24.284788,8.983071,12.61832,-1.2612176,8.82382,5.1753283,0.87203133,0.24720061,5.066697,9.606902,6.6984305
-215.93459,157.6645,-8.663239,33.682976,-4.28078,31.56034,7.1594486,16.60353,0.14064655,21.974335,10.4252205,10.559488,-1.5833309,12.623949,12.165468,2.163055,-3.3939438,-3.5633821,1.4873072,1.0739331
-219.28165,156.3016,0.867423,37.409843,-5.150808,27.013725,5.0743523,15.724018,0.2693678,20.715858,8.7586975,13.238985,0.5709753,10.191624,9.295113,5.096312,-3.1024075,-1.9946505,-2.4914017,-0.14343095
-220.44644,153.55585,-0.7756667,42.24865,-0.056155622,20.384304,1.1385647,11.059652,3.9227166,22.126894,10.019263,11.628637,-1.4498322,6.7932835,2.1298811,4.378183,1.8555162,-1.8629615,-3.1239018,2.0147402
