mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,zcr_0
-432.8862,125.67061000000001,-7.8293076,-11.632088000000001,-22.205627,-8.699431,1.6769713,7.3434935,4.489246400000001,17.17936,7.5533996,-2.251338,-13.861993,-6.968694999999999,-1.1866357,6.361087,7.3904533,2.5877767000000005,6.8781314,5.8387465,0.0263671875
-430.6168,117.07828,-18.711668,-18.339294,-23.767262,-6.498265,-0.11960128,14.084432000000001,18.90567,25.588844,10.381062,4.8475847000000005,-13.557875,3.0662403,-1.5125778,1.3898833000000002,3.2534769,5.0178432,14.54127,11.743367999999998,0.0302734375
-453.8891,112.59741000000001,-24.3404,-15.815266000000001,-21.127329,-6.3198013,-2.7119927,14.477314000000002,25.630886,27.271168,17.678371,10.6066675,-9.903316499999999,13.122295999999999,1.4438248,-1.1207368,-0.18942529,3.3913447999999997,7.600343700000001,6.576683999999999,0.0322265625
-442.9214,105.19925,-15.577959,-12.328056,-21.85347,-4.6553059999999995,0.7645598000000001,21.771309,22.013126,21.201534,19.626482,13.940538,-13.752274,13.768939999999999,4.915023000000001,8.6078005,0.41100025,7.169624300000001,9.918905,6.411869,0.0322265625
-452.71173,108.64777,-11.817066,-9.741793,-22.557548999999998,-8.330775,-1.9781335999999998,28.034195,28.34935,25.556948000000002,17.577108,7.371842999999999,-16.198007999999998,12.18977,7.1209145000000005,11.559479,4.4212427000000005,7.737746700000001,7.486737299999999,6.808700599999999,0.0380859375
-468.42795,127.61783,-16.295692000000003,-10.580866,-20.963982,-11.319077,1.5814297,23.437452,25.71486,30.586437,17.626585000000002,-3.5544822,-12.200897,9.538099,0.58005655,-2.2558255000000003,6.4662237000000005,8.18261,10.148597,7.010103,0.0380859375
-476.69232,129.14891,-19.98206,-12.025255,-26.906197,-15.017904000000001,3.298747,18.242683,29.20366,34.541817,11.907541,-5.1970797,-7.128377,13.942923,-0.33401215,-6.525953299999999,5.226172,15.909563,15.866563000000001,6.366651,0.0458984375
-477.4426,126.8858,-20.756065,-15.933468,-30.566703999999998,-15.173342000000002,2.8461661,15.590986,30.208340000000003,39.517982,8.314680000000001,-3.8467974999999996,-1.7681798999999998,15.326707999999998,10.788451,4.3724737000000005,11.928677,20.84763,7.260209,6.4511404,0.0341796875
-479.6893,120.556625,-22.842833,-14.542448,-26.295890000000004,-15.236876,5.7355304,14.408873000000002,24.844303,38.2629,6.310582,-2.6542373,-3.0517237,12.136097,9.176397,6.4149384000000005,6.5206356,16.12702,4.2100134,-3.6724918,0.03125
-476.46274000000005,123.676956,-23.998894,-10.243982,-23.478117,-13.319354,5.29131,13.910656,21.86573,34.12109,9.229510000000001,1.5068195,-6.981142500000001,11.619062,5.845569,4.639260299999999,0.8833383,11.94153,11.574337,0.2525236,0.0439453125
-471.40448,125.44592,-24.337107,-9.31283,-24.447273000000003,-7.6718884,13.945120000000001,15.490916,19.965084,34.48576,16.703041,0.21257836,-14.011435,9.562211999999999,4.8414087,3.0731759999999997,-2.5752091,14.968658,13.28364,6.5302854,0.0478515625
-477.19375999999994,120.96768,-26.464396999999998,-7.43668,-23.282852,-8.283983000000001,14.48821,8.794477,21.676029999999997,36.414627,12.411700999999999,-7.007586999999999,-19.02629,4.7889066,10.132399000000001,3.767457,0.6833077,15.55896,4.818837,9.817152,0.05859375
-474.08493,126.03638000000001,-27.214294,-6.2732735,-29.381204999999998,-20.236876000000002,15.677229,10.218943,24.837044,39.70067,12.80454,-3.4551013,-6.1378174,13.436004999999998,12.514124,4.0770826,2.0604433999999996,13.90688,1.4331238000000002,4.837016,0.0615234375
-472.42142,117.32875,-32.659073,-8.208604,-25.375263,-25.32764,15.273063,16.10074,22.217413,36.79165,17.3478,2.2120647,-1.0271252,19.777770999999998,11.381285,1.4566511999999998,0.09517589,11.741553999999999,10.969391,7.683533000000001,0.05078125
-484.7552,111.99621599999999,-29.009990000000002,-8.623989,-25.142601000000003,-24.948733999999998,6.6257342999999995,16.28254,15.879157999999999,40.81859,20.044442999999998,4.373377,4.2411757,19.32471,10.515068,6.5333023,7.4017467,18.002396,13.230614000000001,11.61059,0.0478515625
-474.111,107.08725,-22.10931,-4.0476108,-26.49472,-15.420395000000001,1.1697127,17.270195,15.423620000000001,42.901543,14.292067000000001,1.4011836000000002,3.9382362,17.64132,11.594805000000001,4.1047587,5.5131416,16.164135,10.196833,7.6181399999999995,0.0546875
-461.30637,104.616104,-16.793210000000002,6.718279400000001,-21.770622,-11.011436,3.6981983,22.091316,16.805965,33.51293,11.390032000000001,-8.810707,-5.6508484,12.199324,8.612504,5.732953,-4.718151,10.681923,10.92576,9.550911,0.0498046875
-450.36954000000003,105.89917,-14.376772,8.820349,-17.119781,-7.717183599999999,3.7830032999999994,22.29306,21.167507,32.071095,13.261904999999999,-2.588371,-6.168332,5.197097,3.4100241999999996,9.032057,-10.224380499999999,3.7627144,10.580133,5.7374220000000005,0.0478515625
-467.63852,113.71477,-17.885443,0.28722212,-20.203129,-13.00779,3.2602743999999997,13.62791,15.283048999999998,38.319122,11.204467999999999,-2.1111865,-2.1862168,0.75754577,-1.7570919999999999,4.541591599999999,-5.499068299999999,2.030479,8.090367,6.622969,0.037109375
-478.9432,125.56497,-10.688931,1.9989856,-22.080772,-12.175336,7.9416323,10.280346,9.3279295,39.339676000000004,11.685156,-2.4798052000000004,9.767368,11.309967,-1.4213737,8.304111,-2.287507,6.6385455,8.828449,10.116603999999999,0.015625
-480.62714000000005,120.78253000000001,-10.559021000000001,1.554265,-20.43694,-10.61945,10.296464,8.8086195,12.001589,29.15812,3.6539892999999997,-3.9053430000000002,12.755919,14.288592999999999,-6.389941,-0.69394124,-2.5732346,4.3861446,16.337135,23.964660000000002,0.0283203125
-476.8668,120.91498,-13.867222,-2.2550297,-26.589540000000003,-4.5415415999999995,17.83534,12.76779,22.714897,34.13237,4.0582438,-9.163313,4.1275597,15.376985999999999,0.34897940000000005,4.14834,4.033898000000001,-5.7826633,10.350414,24.401829,0.0244140625
-488.54214,114.1577,-18.450932,-0.8462994,-34.761627000000004,-3.9986985,20.697658999999998,11.364199000000001,29.173015999999997,36.361496,8.273083,-5.254862,-1.9549102999999999,17.99501,0.56384087,4.4659085,17.749401000000002,3.4166524,15.794270499999998,20.613768,0.0244140625
-496.81692999999996,114.92280600000001,-11.179178,2.1886494,-39.973656,-10.101792999999999,11.854908,7.982568,33.64985,43.554854999999996,9.449548,0.20464528,-4.056038399999999,15.192751999999999,0.34335583,-4.267352,11.833943,-0.47660804,10.584183,25.193726,0.0224609375
-494.39175,115.64261,-8.512001,-6.018113,-43.528343,-10.39814,7.5519300000000005,4.746822,24.850029,28.055138,5.7083015,7.6870327000000005,-4.9238040000000005,14.697494500000001,10.436377,-9.222215,4.419708999999999,0.817024,8.351297,26.588690000000003,0.0126953125
-484.35977,118.2453,-9.283216,-2.5379267000000003,-32.992867,-1.7565596,12.580149,8.191991999999999,24.585155,22.494968,5.1108603,13.199035,-2.2988522000000002,19.476612,13.845117000000002,-8.652308999999999,2.2527032000000005,-0.06322719,6.9504776,27.572746000000002,0.0205078125
-476.74335,113.973854,-11.567776,1.2858383999999998,-26.522099,2.0679066,11.581633,11.79138,30.196453,18.217888000000002,3.1829810000000003,9.872269000000001,-7.735951400000001,17.173023,9.146238,-4.6310782,-0.7859593,-1.6479669,3.8442053999999994,23.718926999999997,0.0205078125
-479.0585,111.46086000000001,-12.45738,-4.860244799999999,-36.203224,2.1473165,14.610142000000002,11.240716,37.95071,21.850304,4.6358094,8.029719,-11.361574000000001,15.162606,9.735405,-1.4149585,2.9935231,-0.32214773,-1.9252352,17.318842,0.03515625
-484.19516,114.64021000000001,-10.603218,-1.6933339,-42.955467,-2.9869093999999996,14.780854999999999,6.945189500000001,38.5118,31.022278000000004,4.210591,10.624823,-6.911335,16.601564,16.848438,-1.3469588,4.86784,2.6979024,-3.7099252000000003,14.155399,0.0498046875
-471.36823,114.699234,-0.655022,1.5353588,-33.701027,-0.18847406,6.148593,10.8238125,33.960213,29.732065000000002,4.9314089999999995,14.237859,-9.83501,7.993179,16.646557,0.23610492,3.4388132000000007,5.193092299999999,-2.956956,17.79351,0.0615234375
-479.09634000000005,108.0219,3.3365964999999997,5.542215000000001,-26.333479999999998,4.470660700000001,1.0754453000000002,7.9960976,31.727163,26.010689000000003,7.042670200000001,12.064105999999999,-16.33194,1.3842987,13.904164999999999,-0.14011216,0.61467904,3.4366453000000003,-6.7362839999999995,13.448734,0.0693359375
-489.24655,114.83835,-5.286224,2.263084,-31.913641,3.6874502000000002,-2.9136949,-6.381586,29.51815,27.04055,5.189424,16.378819,-11.207241,5.1202984,15.846504999999999,1.7803088,0.34549552,7.115444999999999,-4.941284,8.0712,0.0546875
-484.83624000000003,118.61755,-6.5453434,3.4518230000000005,-31.66018,6.398468,1.027209,-5.668088,27.726269,23.039054999999998,-0.9332746999999999,10.935393,-5.9925585,-0.7175239000000001,10.757246,0.14717460000000002,-0.09778088,10.139427,-2.1398490000000003,6.2107887,0.03515625
-486.09432999999996,117.75416000000001,-3.9747741000000003,8.733464999999999,-30.875898,9.508486999999999,13.864305499999999,1.0249594000000002,33.755759999999995,25.984203,2.557382,12.381279,4.0109057,6.185861,9.017752,-6.179478,-7.232349,10.306841,0.99443877,9.807858999999999,0.0380859375
-488.27957000000004,115.08937,-2.97523,8.510703,-36.879540000000006,8.520133999999999,18.976467,0.49521184,36.347954,34.923027000000005,5.57003,11.860296,-4.821675,3.6298091,10.293439999999999,-4.902778,-8.728086,15.259256,1.36239,6.264725,0.0302734375
-486.4057,114.1556,-8.45175,8.670366,-41.15529,-0.42857748,19.474957999999997,8.389006,36.859802,36.9814,2.8933158,7.340439999999999,-4.9346266,-2.9604912,8.205264999999999,-0.0031558871,-2.8556182,7.420224,-1.6847279,9.512832000000001,0.0302734375
-486.34012,116.80067,-6.741173,13.183736999999999,-38.94023,-4.5376463,19.52018,10.893536,27.74907,31.473751,5.2429676,7.233229,-3.1188952999999997,0.9042759,8.779648,-2.1609317999999997,2.6894119,1.0211014,-3.3736343,13.149679,0.03125
-490.46555,112.91626000000001,-3.0345218,14.184134,-34.399513,-5.5853195,20.023455,10.424448,24.576056,26.101812,6.670507000000001,14.800595999999999,-4.410329,3.0718598,9.576317999999999,-7.5824017999999995,0.93780965,8.727633,-5.573907,7.034892,0.0380859375
-490.3454,113.07715,-4.1594663,11.499525,-31.432055,-4.473887400000001,21.983809,11.227378999999999,28.592476,28.692719,0.06663638,12.795177,-9.42607,0.5083641,15.272751000000001,-2.5993705,-0.80850005,13.879463000000001,-1.8005838,4.4314995,0.0380859375
-486.44672,114.39818999999999,-2.212209,10.148297999999999,-32.517303000000005,-6.114808999999999,19.407925,6.7958984,27.793385999999998,32.552505,5.849619000000001,15.692812,-7.0102773,5.021881,17.763054,-3.045298,-2.3480537,17.246847,3.5576347999999998,16.3564,0.0380859375
-491.62387,116.69906599999999,-3.2273959999999997,10.670547500000001,-23.505330999999998,-4.4140086,16.816303,5.693647400000001,23.23882,26.850772999999997,8.082014,13.974666000000001,-9.24354,7.4862537,20.959373,-4.3515453,-0.37217087,20.16549,-2.5180297,13.636277999999999,0.029296875
-492.39563,117.02051999999999,-3.9680667,11.442997,-16.01878,-0.8464921000000001,16.938269000000002,10.780092,21.739054,24.358524,3.4333110000000002,12.492778,-6.1054059999999994,9.587727000000001,15.973825,-6.127228700000001,5.696113599999999,18.636561999999998,-8.548186999999999,10.242460000000001,0.0087890625
-487.4462,120.79393,-5.6281576,12.370573,-18.676453,-6.2572975,20.262043,18.948494,24.686996,24.923775,6.338535299999999,9.36026,-8.188819,8.073382,14.624856,-2.7088513,10.336488000000001,18.300419,-7.365892,5.3636684,0.0087890625
-489.63027999999997,120.7345,-9.762325,6.2065163,-24.51355,-14.077048999999999,19.251823,18.196602,25.454468,27.487576,11.216429,9.258757000000001,-14.249437,5.6280220000000005,18.016087,-2.7415442000000003,9.196602,24.414314,-2.6618294999999996,8.892273,0.0087890625
-487.33923,119.19,-12.4616375,6.2734437000000005,-21.058094,-11.918561,17.782293,23.842413,27.446125,30.6544,10.465847,9.244877,-10.322308,7.6131344,20.557188,-5.629375,6.1064897,24.942989999999998,-2.6135278,18.272102,0.0087890625
-488.06075999999996,120.51713600000001,-8.4384575,10.612169,-19.247383,-11.34477,20.469307,23.414832999999998,22.046368,26.153069,9.139303,6.362979,-11.755284,4.299238,11.015483999999999,-8.181931,1.9512664,17.389801000000002,-2.4019527000000003,22.393223000000003,0.01171875
-494.236,115.06823999999999,-6.0905867,15.798363,-14.193942000000002,-11.119986,17.820656,21.697077,21.278457999999997,23.978542,8.599722,8.886979,-9.319822,2.0106040000000003,10.956986,-4.101849,7.247266000000001,16.817196,-1.8194063000000003,15.204303,0.0166015625
-486.24495999999994,120.20841000000001,-7.941229300000001,6.644460700000001,-18.728731,-8.082161,16.471382000000002,23.770523,26.887257,20.135464000000002,4.595151,9.407157000000002,-4.508896,8.723399,16.662670000000002,-4.664944599999999,1.3513426000000002,12.956686,-3.5409059999999997,13.395282,0.0166015625
-476.2848,120.111145,-20.435198,-8.838549,-18.696821,2.8443397999999998,22.462467,17.98111,22.296371,21.611938000000002,10.313808,13.170634,-10.084539999999999,1.7767322,16.086878,1.3480538,3.195322,13.643851999999999,-1.7698956000000001,12.822575,0.0166015625
-455.0201,123.97341999999999,-39.378609999999995,-16.755274,-17.375320000000002,5.4390335,24.69977,13.618383999999999,23.70261,32.906933,15.6973095,13.734692,-9.746523,-6.608714,7.187239599999999,-0.21282399,1.563607,14.474864000000002,-5.8711567,7.0214405,0.01171875
-448.8423,129.64667,-47.339386,-22.76963,-15.258707000000001,3.2745987999999997,20.856922,9.265188,23.841202,35.061370000000004,9.666525,13.396589,-3.6882733999999995,-11.957309,2.7313204,3.6587464999999995,3.3427142999999995,15.273821,1.6969327,7.1662984,0.0283203125
-450.93408,137.12784,-39.318397999999995,-21.671835,-20.12315,1.919517,15.274532,7.2587442,27.463140000000003,38.6631,9.998080999999999,10.342064,1.8206330000000002,-6.152727,9.751833999999999,12.881333999999999,-0.11340457,13.656972,12.748526,14.709594000000001,0.0458984375
-462.5755,128.54654,-30.227265999999997,-11.083932,-21.319172000000002,-2.1031459999999997,12.432582,7.2982073000000005,32.598045,39.397564,4.2887955,1.7621330000000002,-9.932961,-5.1350083,23.430325,11.343794,-8.887447,14.931089000000002,20.022026,27.52068,0.0537109375
-461.17044000000004,127.730446,-29.590956,-11.432491,-28.36017,-6.8550663,7.294247599999999,3.9145398,36.505463,42.500797,1.3175940000000002,-0.8760075,-17.775492,-4.252243,30.057287,11.061922000000001,-0.27815458,21.448845000000002,14.738717000000001,19.140297,0.05078125
-458.0048,133.59503,-27.254688,-14.462212,-31.666126000000002,1.2632082,12.581108,-2.8019505000000002,31.411709000000002,32.418217,-8.399191,9.893963000000001,-4.7998330000000005,2.0899935000000003,28.640009999999997,12.80963,4.4984665,17.258965,2.4306834,8.176418,0.048828125
-457.7296,133.24825,-28.03993,-16.417202,-31.044983000000002,1.3678536000000001,11.311278999999999,-8.807653,27.986393,33.33227,-12.557817,11.980278,3.6678976999999997,5.5435886,24.18507,10.510941,5.538873000000001,21.004269,-8.922985,11.311735,0.0458984375
-448.34512,136.62868,-33.917606,-14.733141,-23.011902,2.8451781000000005,13.34087,-8.938953,27.203922,37.843754,-4.2952733,12.764114,4.647312,7.456974499999999,24.47909,4.920808999999999,-2.3500892999999996,17.669635999999997,-13.094978,9.631685000000001,0.0400390625
-443.3236,134.61287,-51.012268,-19.781906,-14.622929999999998,11.860119000000001,13.999212,-4.6692667000000005,27.138752,30.19882,-5.5148373,19.361359,10.349518,11.165411,23.186617000000002,5.4162474000000005,-6.9568424,9.226633,-6.4351587,17.089882,0.0458984375
-423.0671,134.41673,-65.73609,-25.023514000000002,-19.68789,10.528045,9.609616,-11.17004,27.166513000000002,27.370602,-4.6485825,25.75935,15.63345,19.232578,17.771,0.123503685,-8.830933,7.7725754,-4.825844,11.888917999999999,0.0458984375
-398.31992,145.62045,-71.82849,-33.90074,-33.320477000000004,8.246752,15.211228,-4.545077,33.210190000000004,33.202020000000005,3.6335474999999997,27.651954999999997,18.578464999999998,14.012284,6.6133356,-3.934308,-8.043049,4.5751133,-5.581211,9.839922,0.0517578125
-389.4981,152.30624,-74.01850999999999,-37.310036,-38.72992,3.7696226000000004,19.256334,4.5917,40.989655,33.07424,-1.7648734000000001,19.140354000000002,16.05012,7.8166018,1.1611156,0.7916155,-5.0752754,5.146372,-12.125326,9.434608,0.0517578125
-404.58716,150.30908,-60.76868,-37.246544,-45.593422,3.1806443,13.881371,1.2182572,44.3564,36.48874,1.6991091,19.789898,10.677294,7.5089293,5.551740000000001,1.2681434999999999,2.2762332,10.86622,-10.039678,2.841796,0.0419921875
-441.74585,128.55803999999998,-31.284461999999998,-14.638829000000001,-45.409447,7.5560966,14.763929000000001,-2.973159,41.825897,35.4646,-1.0613552,12.281569000000001,2.6091297000000004,9.526621,9.367632,6.977034,8.406755,15.953586999999999,4.4344873,7.222894,0.029296875
-463.8946,107.39043000000001,-10.203802,4.8691816,-39.404635999999996,0.8905245,17.531015,7.6853065,31.966354,25.327785000000002,1.8785235,14.939848000000001,-0.29939032,9.417652,13.218224,7.234132000000001,5.176101,9.685602000000001,4.7414879999999995,13.4931965,0.0283203125
-444.56199999999995,119.21385,-29.490416999999997,-11.1160555,-33.366997,8.888884,22.455528,12.68758,42.336715999999996,18.321543,-17.737179,6.189145,8.974216,21.529253,11.239157,-0.5604754,9.011292999999998,11.953748,-1.5040675,9.412256,0.0478515625
-423.7377,135.5575,-49.51976,-23.309276999999998,-30.059631,5.3238373,19.328644,15.788704999999998,48.720673,21.398296,-31.002075,-6.939754,5.747335400000001,28.108665000000002,9.124483999999999,-1.1423097,12.466724000000001,8.958223,0.36948907,14.287113,0.0546875
-423.3253,134.48471,-62.606018000000006,-30.714977,-28.746876,11.905199,16.824848,14.000923,43.62258,24.27083,-20.976772,-7.134601600000001,-7.910628999999999,17.108812,11.584914999999999,-4.939604,8.069094999999999,11.966647,3.1868448,9.278587,0.0654296875
-408.3509,146.57908999999998,-63.686802,-29.498196000000004,-25.099697,10.636613,11.427282,2.7871737000000003,41.051075,39.998672,7.0742598,-0.19785869,-17.895462,9.9147,11.728866,-6.1240816,4.222663400000001,19.032326,12.122377,17.238087,0.0693359375
-413.83755,142.9366,-55.28441,-27.609809999999996,-25.320308999999998,5.8654575,5.487537400000001,-9.038441,38.46608,50.271423,18.164870999999998,10.327518,-13.342194000000001,11.462358,14.152762,-5.585592,0.38900185,13.159175,5.6804733,19.556114,0.0615234375
-434.9136,134.5448,-49.18499,-28.494726,-28.408278000000003,7.8953047000000005,16.457138,1.1068031999999999,41.95085,38.66025,2.7755183999999997,9.277191,-7.8980966,10.297874,10.179243,-9.118153999999999,0.8063057,8.51264,-4.440695,13.522082999999999,0.076171875
-428.92664,136.67094,-55.250440000000005,-32.718407,-29.30643,5.741787,24.290782999999998,15.456785,45.582405,23.753757,-19.148422,1.0951748,0.4680019,11.444131,7.191284,-5.1512519999999995,6.181193,13.0152645,-6.489371299999999,12.09183,0.0615234375
-423.8696,138.87993,-55.135704000000004,-33.735355,-32.870415,3.8141513,14.829353,8.42384,42.285202000000005,31.723557,-5.617379,8.012093,-0.35679686,13.606796,14.873304999999998,-2.2227745,7.038011,15.684897,-8.856705999999999,5.078827400000001,0.060546875
-417.13715,150.22238000000002,-64.5509,-34.77114,-24.159794,4.907135500000001,6.245864,-1.6401700000000001,41.000237,42.507812,10.221821,13.707370999999998,-7.0780983,8.671165,17.823764999999998,0.52751523,2.3111193,17.173735,-0.67933905,11.03351,0.0615234375
-429.1583,150.65482,-58.323980000000006,-30.714084999999997,-19.146595,1.0472878,1.3740313,-6.218195400000001,40.04522,49.172959999999996,16.927155,12.089876,-4.2537709999999995,8.422272,14.795105,1.6967740000000002,-4.016806,7.532264,-5.0186296,11.863961999999999,0.048828125
