mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19
-336.47928,132.15297,35.7782,-9.062887,12.8014965,10.3014965,7.193492,0.9210796,3.8624632,1.2387675,-1.3388643,4.587096,-3.2360365,4.284446,-5.6187897,-0.08684675,0.34152043,17.94897,2.6703775,0.29345077
-335.16577,140.21042,34.440365,-3.8354583,13.222999,15.177744,13.0609,-0.15609974,2.5287194,2.5591223,-0.50996953,3.8063638,-5.024345,5.6485205,-5.1595907,4.921805,-0.83731043,14.697638,-0.48060107,7.452752
-336.6562,147.46854,37.149315,5.772531,18.83931,27.841906,21.296265,8.4347,3.2379203,0.6543608,-4.988942,7.1373034,-2.7365465,10.241026,-1.3201499,13.039412,-1.6097933,9.033485,-5.015167,15.54058
-334.76556,149.61456,29.954807,-1.7290592,22.266758,32.614487,17.949032,10.728892,9.972873,-1.1188564,-4.029651,11.755743,-2.5833108,11.293866,-1.9721884,12.699038,-4.2152214,14.103939,2.187702,21.001152
-338.81506,143.52252,23.297958,-0.7182801,23.825253,29.15831,18.194777,16.332634,13.940583,2.8662376,0.109181285,15.733199,-5.669674,6.7224226,-4.9225445,10.230167,-11.06525,9.849677,-3.7473884,15.590896
-335.79266,145.71616,29.542084,-1.9388129,16.407928,18.595581,15.425354,19.255798,14.27186,4.2607327,-4.983369,9.823001,-11.389143,1.1115865,-8.422092,12.569597,-4.3580904,11.566708,-2.4054413,12.465301
-332.18365,149.28278,30.492004,3.7722745,18.376085,21.843332,27.997292,22.26257,11.486763,-2.600091,-13.072819,1.2114568,-10.102293,3.0510268,-12.453237,10.208666,2.132003,16.399462,-3.7987907,12.557125
-330.41302,150.57849,25.621162,6.082314,22.422207,30.888412,22.977833,13.086164,3.3438377,-11.761726,-8.875611,3.4787955,-5.69794,9.728668,-7.558565,12.449756,1.0101829,10.860867,-8.596848,9.53738
-334.84225,151.82658,27.233356,0.77902865,18.63239,23.169006,11.375431,9.831248,9.131754,-6.85998,-6.764492,5.7845554,-14.897505,9.570556,-7.6249375,9.4261875,-4.282337,6.753435,-6.339282,14.996937
-335.28888,155.60622,31.380903,-0.8734632,13.813085,22.96101,14.49749,12.067181,11.250122,-1.8724966,-9.560483,4.216355,-12.014886,8.71892,-8.500812,6.9766665,-1.430165,13.444874,-3.3771646,12.405823
-336.94235,160.73389,28.331623,5.527261,10.54476,23.329819,14.560431,6.764072,2.332841,-4.4186153,-6.3825474,5.136654,-8.022418,10.295582,0.79198074,10.513172,0.71055114,6.429758,-4.4051876,9.049456
-336.48822,157.935,21.89014,5.930222,10.0606,23.20501,13.128023,3.8011823,-0.8508329,-7.171635,-4.3211594,4.4031935,-13.527283,9.579334,4.0306573,12.951912,-0.37893692,5.8557324,-3.0841131,12.675302
-335.50485,152.9295,28.217266,14.87278,18.222862,30.55042,6.7104588,0.31885752,0.91257167,3.3238704,-9.509649,7.3826785,-3.6023698,10.837482,1.9431975,10.680747,-1.4071031,7.1632657,-4.3930492,8.539496
-325.2806,141.2447,25.310745,12.34416,8.512804,24.941668,4.850851,14.759273,2.7549098,5.7001266,-6.520259,5.834772,-8.193377,9.743926,-1.3399132,13.798084,7.219285,7.3606963,-4.6299877,7.458041
-324.3618,141.0032,26.43386,12.845602,6.4752417,20.146847,-2.048987,19.885347,1.5262148,5.8372364,2.26004,9.025417,-7.304253,8.396948,4.7467155,17.53762,4.0559235,7.1074815,1.6742053,7.054469
-327.3928,152.77435,31.147211,9.883221,7.161932,24.260906,2.0309248,15.406889,2.3889873,-1.2577978,3.9477286,12.415758,-7.282634,10.047421,6.8957605,15.521847,-0.6732961,9.561308,0.9913895,1.1556891
-334.1388,158.82986,30.2553,6.078148,7.1426783,27.426065,10.017342,8.812449,1.2751458,-0.68575144,2.8065557,6.877373,-12.435183,2.7591555,-0.89214855,13.450327,0.5453654,11.818092,0.8344755,5.6358776
-341.78275,155.08276,29.928213,9.109753,10.974762,27.733767,8.637385,12.844573,-0.49006897,-2.3819826,2.6289003,12.71874,-0.48668134,2.34709,-5.1359224,13.775681,-5.756291,6.1875854,-3.9482293,5.914114
-334.7014,157.05571,29.00316,14.828697,10.259056,19.816292,7.8639574,15.450971,0.80651903,-0.7698866,3.0193005,10.21148,8.291037,5.6421647,-5.264539,14.767935,-2.9894,8.499746,-0.24892703,0.5245773
-329.42627,155.5163,18.21526,13.091864,10.708938,22.15145,12.775766,13.792994,-3.5657928,1.684053,-2.5287929,1.2019306,5.538876,11.185628,1.6018595,14.961319,1.8903271,4.3781543,-1.6217465,4.9364433
-329.84296,153.99095,21.564869,6.8095922,5.976017,22.749313,10.351583,17.294455,0.18955427,2.7589254,-2.1891305,-0.18588865,-4.892771,14.833609,2.5835052,11.8088665,1.6013564,2.4724016,-1.8674321,6.673459
-334.20676,148.4544,19.551609,12.047857,8.76029,27.959259,18.486649,21.464916,-2.3246894,0.17775953,-1.01228,1.9406211,-5.852538,16.618382,6.159446,12.382477,4.7263412,7.4775295,-2.369496,6.111992
-336.37024,143.02695,19.052471,27.303947,12.985064,27.786331,21.32677,17.769695,-3.2451205,0.3526827,-6.640038,5.2848396,-0.84645224,5.771448,-4.280452,15.568433,11.546126,7.43822,-6.8656754,5.163169
-339.63513,147.0352,25.76294,31.3082,16.487709,30.504028,12.371525,3.2061725,-0.90797055,10.647312,-3.6125128,16.898453,5.0877757,1.6059614,-3.4847202,14.999423,1.6689816,7.6848087,0.6721711,5.7816753
-325.3838,138.0772,23.633905,43.577454,-1.9870421,32.76264,21.534311,-5.3438177,11.175493,14.838553,-11.463936,25.727757,-3.4158154,1.2732795,1.2551314,6.892698,6.4793086,13.44401,-0.451571,8.803812
-256.0126,72.77915,22.512808,68.210205,-48.20935,52.648357,22.869593,-20.993427,26.87615,-8.041592,-5.302517,20.090118,-0.72067326,10.847805,-5.762917,19.498688,-1.6682363,10.700556,6.7962666,7.4002852
-215.41106,38.574768,36.334175,71.54242,-55.373383,48.324554,23.723251,-27.596783,38.054077,-17.217886,2.627798,9.919459,-10.049753,4.888908,3.5112076,20.98015,2.5389638,12.858784,5.217114,12.220095
-209.36812,30.990128,46.95317,71.74157,-58.34351,53.922726,30.05909,-28.385948,48.65016,-20.254284,2.899353,8.525446,-17.223478,9.292944,7.233367,9.21163,0.31042475,11.377433,1.6266949,15.599765
-218.59772,30.909315,49.61193,75.673546,-58.953323,55.415318,41.60073,-39.883232,43.74154,-8.020389,-5.827552,26.606876,-12.944592,15.848764,4.6371145,8.8860445,4.0213833,11.014497,0.9625108,7.7759895
-222.83052,38.693184,45.038498,71.811005,-61.655895,47.794655,50.265846,-41.290665,34.648674,5.364857,-26.689346,39.743378,-14.370447,16.773472,4.2456837,4.839747,6.3684545,3.85845,5.625137,9.535055
-208.60025,35.31543,33.546032,81.22035,-50.044693,43.300087,44.69133,-36.9261,25.442467,12.306399,-32.080757,37.68631,-17.081005,10.351068,9.738422,-0.55911857,3.879138,1.9839723,13.859858,1.3993955
-193.41722,30.286026,14.840766,93.08177,-38.13456,33.32874,33.95607,-19.828424,22.874687,-3.7564433,-25.667282,40.839912,-23.608122,1.9580914,20.947826,1.8520522,3.2726774,5.552776,15.333848,-3.4737506
-190.79243,25.439764,8.699175,93.55965,-36.95426,23.493654,28.158043,-13.3805685,20.705809,-11.207485,-22.998257,38.54102,-21.872559,-6.2002583,16.577919,-2.0346968,-3.5272386,-0.03685367,9.111967,-8.876943
-198.22809,30.900036,12.376059,85.050735,-37.042297,18.389534,23.099026,-14.150627,22.268875,-9.692429,-18.25824,32.02214,-17.508316,-9.277126,15.427786,-0.8168286,-3.8765671,1.177013,6.678758,-5.2266784
-221.51776,43.288094,11.352453,71.90755,-34.253605,20.51481,16.670116,-7.04518,24.613705,-16.88361,-6.0511756,36.038345,-18.839882,3.9498744,23.68956,0.97904277,-2.6616285,8.350597,18.673878,4.669566
-204.95789,57.46808,-4.0153484,89.23242,-27.107073,-2.9063873,33.347366,9.992979,-0.20659332,-21.079678,17.008904,21.938858,-41.990135,21.54866,15.025688,-17.491524,10.95133,15.927536,4.6345267,-5.6349573
-187.80379,47.848083,-13.23445,107.11313,-33.77196,-21.790573,58.380043,2.3585024,-13.561725,2.9315765,13.723742,4.7584715,-31.162321,22.718567,1.4492126,-11.612862,11.826899,7.8764143,0.37523657,-14.337206
-191.25233,25.18468,-12.153388,110.6476,-47.77314,-7.563667,62.84913,-14.207969,-11.084008,9.592476,6.5847807,1.3720332,-22.167873,9.650843,6.7578,0.39306283,7.5519075,6.699548,-5.259909,-11.399231
-196.56213,30.28836,2.1967447,96.47407,-45.061165,16.424583,54.972763,-17.895443,8.021672,0.75422233,-8.954871,6.2005434,-14.082584,0.5795561,9.181435,10.641357,3.201896,17.401577,0.6946014,1.1020714
-196.96506,39.096786,10.552968,90.132385,-45.206417,25.67163,42.76876,-16.36681,18.046576,1.3430433,-0.4144219,7.5443506,-8.940265,0.038699448,6.3565702,17.487286,-9.508936,18.63041,9.990076,3.8086815
-214.60056,45.386665,24.861702,87.4736,-46.409714,41.191093,40.757847,-6.5493627,29.192608,-17.214457,17.157623,-2.1699882,-11.135263,8.164923,-10.792751,28.34343,-10.596197,5.5348816,28.24332,-5.77897
-224.98373,41.338913,27.699732,80.530136,-39.789978,42.216766,38.230453,-4.2680864,34.003807,-34.601555,27.883932,0.6081338,-17.203945,17.71696,-6.6787777,26.702541,9.401649,-2.852947,27.031837,-12.183142
-207.62064,38.081566,23.164537,67.99942,-32.40758,27.321564,25.435616,-0.75824225,27.689732,-34.23053,18.34504,17.57643,-27.842443,14.864509,-2.2152855,14.779836,15.349599,-5.050255,25.642061,-11.529422
-210.1246,35.615097,12.567659,62.934864,-29.987675,16.818756,19.598392,-0.21949574,21.577187,-33.070477,12.404623,26.475235,-32.820072,13.29832,0.9617619,5.997613,1.375714,-11.547765,21.980728,-2.9702554
-228.51016,49.606453,15.484044,67.65715,-26.89885,17.000105,17.675575,-5.9773016,15.706743,-33.67961,6.7798615,24.440266,-32.8491,12.215776,4.8681,9.7784,-10.385029,-14.197489,18.589966,-10.788519
-231.53831,57.857254,4.785775,75.54433,-21.538218,13.823598,19.806221,13.789519,7.2153707,-38.31865,20.948175,25.390017,-37.889717,17.596186,13.0812,3.406544,-13.54651,2.5479352,20.93683,-20.06982
-210.60182,52.065018,-14.833225,99.79976,-21.452023,-5.396064,41.788307,24.956108,-16.799358,-24.359978,39.19039,3.4726548,-37.08526,33.602264,-5.116029,6.9454794,-7.8577538,1.7046827,17.921162,-4.8116374
-196.92592,36.142693,-4.813882,122.23912,-33.957573,-12.189838,58.270615,5.5023084,-18.187187,-2.939611,31.644249,-0.23795569,-18.520992,21.871113,-3.852798,9.965559,-9.322599,0.28929126,9.422693,-5.9286184
