cstft_0,cstft_1,cstft_2,cstft_3,cstft_4,cstft_5,cstft_6,cstft_7,cstft_8,cstft_9,cstft_10,cstft_11
0.11910287,0.040092997,0.023079684,0.017419934,0.018955138,0.021799117,0.0235627,0.035741936,0.076463416,0.5452755,1.0,0.62612647
0.095367074,0.025466137,0.023011686,0.024047934,0.020881526,0.029049976,0.025375368,0.02901361,0.12406552,0.7686168,1.0,0.5212627
0.03781501,0.005394327,0.006244027,0.013930062,0.018526845,0.033628453,0.054561682,0.121953025,0.21665312,0.43015903,1.0,0.8287168
0.020891167,0.0007819236,0.00082142366,0.0014527697,0.0021593792,0.0046295356,0.0077922954,0.018719334,0.05228094,0.29232675,1.0,0.6516845
0.012506233,0.0013651947,0.000836679,0.00093192386,0.0009233115,0.0018128284,0.0033432688,0.01418991,0.11869025,0.61300755,1.0,0.42835933
0.022840228,0.017116595,0.013487039,0.011942191,0.0081648,0.013017979,0.027505258,0.051991258,0.31454813,1.0,0.875034,0.29262814
0.2382435,0.29410803,0.36053747,0.29851806,0.12028089,0.15510769,0.27460346,0.3617253,0.6404315,1.0,0.9820994,0.5673533
0.41552672,1.0,0.46208537,0.21427183,0.24885999,0.20433073,0.19392106,0.21484359,0.30854192,0.34936884,0.44206688,0.42545116
0.3938582,1.0,0.44157156,0.24806711,0.35937002,0.22862968,0.17365132,0.17032991,0.31304216,0.32799435,0.22970231,0.2550535
0.70231485,1.0,0.7309363,0.83186966,0.8292372,0.50627065,0.7254453,0.8508793,0.8801914,0.8036199,0.83283836,0.7581205
0.6135929,0.65105516,0.7834286,0.75328237,0.59349096,0.44516617,0.65567577,1.0,0.9309337,0.91075975,0.8018168,0.8028251
0.32768717,0.37032345,0.29396752,0.378782,0.30757236,0.3484989,0.36424482,0.72555274,1.0,0.7963446,0.42784467,0.4026384
0.32782942,0.30420437,0.2058419,0.25889927,0.22179852,0.29238436,0.3252716,0.7097946,0.8729774,1.0,0.7561666,0.40029564
0.26964855,0.22959927,0.20001015,0.2199417,0.5230747,0.5323958,0.52273655,0.67603284,0.7662984,1.0,0.7087874,0.33024597
0.3504489,0.39223692,0.30708295,0.33859876,1.0,0.75931656,0.79043543,0.6865268,0.46764424,0.55004203,0.6041932,0.43659353
0.5051222,0.4128743,0.33207503,0.5123251,0.6744489,0.5693107,0.8871305,1.0,0.8315787,0.6763911,0.82187957,0.7060798
0.35255638,0.2436837,0.31025934,0.84785527,1.0,0.55317265,0.71609855,0.81003857,0.7825816,0.65487665,0.55614674,0.5016437
0.22430074,0.2122996,0.35060886,0.55788916,0.71783704,0.4721037,0.53010654,0.85118204,0.90705085,1.0,0.36001605,0.31641954
0.27439886,0.22321197,0.2449808,0.26090032,0.21752582,0.20182166,0.3725168,0.7740849,0.96996486,1.0,0.18279481,0.17763475
0.15929489,0.14786972,0.095427535,0.090287365,0.07727709,0.07343854,0.13946433,0.30777013,0.6318895,1.0,0.18208314,0.10376066
0.2166421,0.22578302,0.14252461,0.18097842,0.20241117,0.1906147,0.41073605,0.3038144,0.6128709,1.0,0.36951113,0.16787118
1.0,0.535222,0.26464054,0.27649316,0.2840169,0.30954686,0.65939903,0.42734495,0.8136107,0.84182423,0.6829414,0.5219255
0.29479703,0.10737443,0.062116843,0.08911888,0.114813775,0.08235259,0.14291032,0.26866272,0.5963728,1.0,0.6723392,0.26069054
0.17649852,0.13529623,0.09628092,0.10533193,0.14610934,0.13038029,0.2631576,0.43875825,0.74289185,1.0,0.5296136,0.18502231
0.62612337,0.7000549,0.66285205,0.35637298,0.24930571,0.2055589,0.36351207,0.51329046,0.8400805,1.0,0.6894157,0.47677824
0.52178705,0.6838318,1.0,0.54870665,0.30404714,0.2558246,0.3909684,0.5018715,0.8556478,0.99874556,0.764987,0.70543426
0.4981502,0.48228782,0.63904375,0.49026802,0.33349082,0.4745393,0.87525547,0.5399276,0.8019048,1.0,0.990888,0.6707036
0.19502458,0.12760596,0.2006942,0.27465436,0.23537365,0.26443335,0.584473,0.48345947,0.71764153,1.0,0.9429955,0.5457092
0.10658328,0.0016767692,0.0022192535,0.002818412,0.004565992,0.009321471,0.02736813,0.064101756,0.11817335,0.25060245,0.5623558,1.0
0.10954712,0.0009837623,0.0005472541,0.00035450587,0.00050574186,0.001289536,0.0039996575,0.01071717,0.022255043,0.057500068,0.2883621,1.0
0.12834533,0.004187798,0.00052574463,0.00031038444,0.00035673947,0.0007093224,0.0020768507,0.005322322,0.012350495,0.0385269,0.27614483,1.0
1.0,0.0781034,0.00068058365,0.00080664956,0.0011759674,0.0026309395,0.0080819735,0.020542689,0.049029708,0.124140985,0.30096707,0.9231045
1.0,0.061454426,0.00034553165,0.000307291,0.0003733081,0.000946115,0.0029318351,0.0059481603,0.015043615,0.04584624,0.1983905,0.96383107
0.39615098,0.012098321,0.00075015763,0.0011254551,0.0011086095,0.0027406276,0.010196007,0.022786645,0.059468288,0.15270004,0.39156175,1.0
0.23590352,0.0024822059,0.00043685778,0.000522566,0.00049602566,0.0011873769,0.004201016,0.00997968,0.03552728,0.16406076,0.528684,1.0
