contrast_0,contrast_1,contrast_2,contrast_3,contrast_4,contrast_5,contrast_6
18.87663147639221,30.392924072986652,29.207127491242304,22.036014201307452,21.04329158774115,28.034791101426936,35.24905890831567
17.83737065662625,14.136087803649138,11.767441041591294,17.810379956567424,15.419200879774014,22.762363539251112,32.01418196835216
26.788798806032855,8.162725737199494,11.253987578228514,23.581699435815725,14.503745214545194,16.470765623452657,33.75080547874682
29.755644818623733,7.787666206059562,11.453848804101156,24.53131199940963,14.29431083644692,19.940257424726628,34.58756232056534
20.165234551472174,9.241874182877947,10.989734729882972,20.11671192737611,15.115611364006089,28.747522447962016,32.409414459373004
27.46734240929532,9.428191359376726,10.162884726685913,19.2481852157391,14.698116408446317,33.81033097855335,31.886133873146136
24.84221656916543,11.476432226814673,8.795654571711168,20.680914647687143,19.456357459358046,28.742726692022863,31.979263070338643
27.94836169279415,9.406536601735652,10.538833779978644,14.839053362868778,21.527823902867745,24.554822160245557,32.538265197990725
22.349206148951936,11.627377238201698,8.972973309455027,13.45235681801748,18.43352086158803,26.15607302015993,32.752758753241125
21.103327045437922,9.315698043517898,12.522945642673532,9.405611209850111,19.222116904494523,24.909001060109038,33.87841326749988
13.273416484846301,12.354864221351292,12.970578028524752,11.946147445171116,21.356702914399303,20.100287080602527,36.28766442140279
14.272644864886281,8.421035003787633,6.330846981265335,10.94996751289452,20.70649559571835,16.850030969901674,40.659397673641735
17.408322146857778,7.950872532519417,11.311787164572097,12.579916023552705,19.813568122492523,28.044885973353022,39.1152948036892
24.562422107504826,11.260018372744653,12.677139581953085,12.259208559880596,18.253157315534732,29.96068552433003,35.05292067301459
23.27427115281263,24.32815182549877,12.33515999407377,15.689994717197646,22.772044674571244,24.649922890516578,35.88145664826119
21.378298402437792,11.954368956641384,6.845947499394205,15.899922587506904,23.546537418439243,23.80569718590644,36.350835170520654
21.22998682169583,10.032751549340965,9.294946501809996,19.070950525693444,20.719226754310647,31.621037694876804,33.74263933191695
16.571593907266227,10.299534843193022,11.347441685314925,17.618490105091695,17.53434996373604,31.909007955405315,31.859081966632587
15.373591272744065,9.070049218936816,10.889987431051097,16.483926157196475,13.87615750037073,26.024930000790633,34.122568071082924
23.723478587494522,15.234432580551443,11.413830278150643,19.84599548175408,14.770555696881312,20.71107353601708,34.66457421041309
