ccens_0,ccens_1,ccens_2,ccens_3,ccens_4,ccens_5,ccens_6,ccens_7,ccens_8,ccens_9,ccens_10,ccens_11
0.24507886694741637,0.26295260331969367,0.3558409286787851,0.30383906103215896,0.2466541906676068,0.2749551252127975,0.3027337436274087,0.24886877874927196,0.3142179026620975,0.31273962272909384,0.3286381879880512,0.23934768861973973
0.2387132718237709,0.2634703211767339,0.3565318685489515,0.30246134904555405,0.24744721529483318,0.2739973034097404,0.30097863990590334,0.25473466815059687,0.31599781550614175,0.318937720793393,0.32351053768313187,0.2387132718237709
0.23281544392276274,0.2637818141898495,0.3566699887571628,0.30083246183280704,0.24830258312006412,0.2730642506279587,0.2992697625849726,0.2606009646381956,0.3179507471170252,0.32500686865364403,0.3185030115620896,0.2379971651927091
0.22727540890432277,0.26389753927320986,0.35626143820411027,0.29906815661124714,0.24917974584548688,0.27212878869938656,0.29756464152773887,0.26635485861163627,0.3200358127044214,0.3310005018895158,0.3136890694585728,0.2373197562116515
0.22201762018524698,0.2638357637796828,0.3553275455512519,0.2972660830428955,0.25005652013486684,0.2711801511374608,0.29584217268201074,0.27192086298337104,0.32213910024254955,0.3368757949743866,0.30922604613494686,0.23677825929388524
0.2170737923628382,0.2636142736117722,0.35389163403505747,0.29541723891809074,0.25091835106971433,0.2702132678121484,0.2940898578318078,0.277243799965976,0.3242637208036288,0.3426027491984024,0.3051491226800042,0.23644885316468972
0.2124688351289609,0.26324701799234784,0.3519733486073838,0.2935145724639326,0.2517529493746882,0.2692238584161814,0.29229781099357516,0.28236190379674353,0.3264937376896049,0.34815559816054326,0.3014020114613756,0.23630703958573393
0.2082242271621446,0.2627454689087857,0.3495899104252359,0.2915531320218917,0.2525499074303323,0.26820876873089516,0.2904587236523176,0.28730388120939904,0.32889560522006045,0.35351112953221964,0.2979402565907201,0.23633267129883
0.20435851765593394,0.2621173971844898,0.3467543184935646,0.2895277211327991,0.253298218111098,0.26708738605261223,0.28856538649697155,0.2920884168871438,0.3315203073307037,0.35872088715711725,0.2947267644537874,0.23650722666573779
0.20089685553753736,0.2613779845184448,0.34349014283026724,0.28744444717515166,0.2539959935456028,0.26580064368888207,0.2866220885851117,0.2967370421874939,0.3343457608558181,0.3637620142184594,0.2917419023291039,0.23689648594264198
0.19787449205297108,0.2605544204364977,0.3398374498538772,0.2853250338760437,0.25458245690068365,0.26431208391339067,0.28464885196613415,0.30120859124522037,0.33729680858599415,0.36855816721624374,0.2890583002034329,0.23764166733937864
