ccqt_0,ccqt_1,ccqt_2,ccqt_3,ccqt_4,ccqt_5,ccqt_6,ccqt_7,ccqt_8,ccqt_9,ccqt_10,ccqt_11
1.0,0.1960712,0.4216827,0.6836844,0.58754826,0.74809194,0.9434462,0.2679182,0.37110284,0.29926217,0.7434233,0.28030166
0.9660838,0.7429367,0.8436961,0.90102404,0.56394535,0.91643745,0.9694203,0.46389255,0.59146005,0.5948919,1.0,0.89817
0.77724886,0.68188757,0.77920073,0.7339331,0.6596294,0.70068645,0.62454516,0.5306807,0.62350297,0.56542635,0.9339963,1.0
0.6824134,0.5874232,0.6854429,0.7313697,0.66053593,0.85529214,0.88017684,1.0,0.9799485,0.7109799,0.6263066,0.6094997
0.78045535,1.0,0.95444995,0.5644382,0.7144156,0.81842387,0.6993913,0.8336151,0.580529,0.42986605,0.49820444,0.6220494
0.5420966,0.80413294,1.0,0.821237,0.4114759,0.55056113,0.68667257,0.6037596,0.75921446,0.6633384,0.56521684,0.48277307
0.53264177,0.5803256,0.8455672,0.5435104,0.48222277,0.55176926,0.54590946,0.6284782,1.0,0.8029931,0.5383379,0.40654713
0.33448827,0.62991506,0.8384142,0.74880105,0.42234954,0.6012387,0.69448876,0.53836995,0.77488226,1.0,0.9725961,0.5553107
0.4262961,0.4390267,0.69702774,0.5867332,0.52819,0.46215072,0.5208495,0.7436714,1.0,0.89170504,0.50447005,0.44721425
0.4315746,0.48729432,0.9567802,1.0,0.6367327,0.75219303,0.75462145,0.65324026,0.65063155,0.8939503,0.8319725,0.6768612
0.75710326,0.8219643,1.0,0.87710625,0.84837663,0.8260222,0.8470246,0.8134828,0.72867817,0.75523406,0.69322777,0.7779622
0.71111274,0.71528363,0.9005599,0.8264122,0.8930836,0.92190677,0.7314892,0.7077056,0.97181195,1.0,0.61313057,0.7399472
0.48724678,0.3922076,0.61511546,0.68142354,0.54691833,0.5378296,0.5912569,0.64105517,0.93337345,1.0,0.67797035,0.47756165
0.34468818,0.47891828,0.9898278,0.78515023,0.6641544,1.0,0.96570104,0.68464726,0.6738874,0.8274749,0.7971968,0.67291385
0.3754957,0.5969796,0.8190478,0.6767956,0.76781845,0.76294035,1.0,0.94885445,0.6227188,0.685625,0.72457093,0.3917493
0.5070585,0.64674425,0.69189966,0.7539222,0.5519444,0.63798696,0.8042898,0.84125304,0.8098343,1.0,0.72823966,0.42092472
0.5068963,0.6016465,0.9850508,1.0,0.663093,0.6964713,0.85415876,0.7963743,0.96983814,0.8302049,0.6296791,0.65985155
0.24139953,0.3933142,0.58366,0.68762505,0.5383507,0.5137089,0.44025004,0.6713722,0.86230755,1.0,0.6791507,0.45979518
0.5360675,0.65038466,0.67324704,0.8401593,1.0,0.76084185,0.7856171,0.93734044,0.61173105,0.6512075,0.59936213,0.6596393
0.44321027,0.5971219,0.6441927,0.6559735,0.6119322,0.677325,0.7330207,0.9152463,1.0,0.9231695,0.652879,0.6945844
0.48799652,0.6367056,0.6443476,0.8014281,0.8287724,0.565861,0.6798767,0.78746235,0.7780338,1.0,0.7367589,0.3881541
0.721554,0.6335218,0.51193255,0.39795467,0.4972044,0.60929835,0.7092314,0.8976611,0.96915615,1.0,0.80659956,0.5613581
0.48977795,0.46529186,0.49598542,0.5383117,0.44634092,0.48907027,0.53064203,0.62519103,0.79206973,1.0,0.7252608,0.7441861
0.4198635,0.5810786,0.8230904,1.0,0.6560382,0.8070724,0.87451744,0.8658217,0.8252009,0.9962862,0.98790103,0.7539074
0.82553345,0.7529312,0.68169004,0.5667122,0.5024546,0.63738775,0.80125165,0.7190611,0.90092266,0.8405052,0.96218044,1.0
0.53037703,0.56946373,0.7451281,0.6714263,0.63678247,0.586352,0.577945,0.7035373,0.94185036,1.0,0.7154125,0.686605
0.5945524,0.5598919,0.6635035,0.7121605,0.46713158,0.67373633,0.6907341,0.9446381,1.0,0.7906587,0.64844877,0.46652266
0.37755397,0.42326805,0.63607156,0.5762163,0.44383693,0.63311654,0.6526033,0.6529808,1.0,0.81626606,0.44512388,0.41810247
0.3377939,0.29803526,0.49880782,0.4206972,0.3266797,0.25958323,0.33586276,0.5834698,1.0,0.74688274,0.5267145,0.43885705
0.5612271,0.58802485,0.6983757,0.49313992,0.50484127,0.48757416,0.74198574,0.7010483,0.66629076,0.5683598,0.77356666,1.0
0.34995908,0.42734838,0.47298402,0.3059729,0.28698868,0.27607983,0.5456254,0.5029357,0.39018965,0.50261676,1.0,0.90954626
0.71402824,0.6535303,0.5011171,0.44264427,0.46619603,0.45336923,0.46516153,0.7018696,0.5429418,0.664457,0.9232064,1.0
0.5660138,0.56629884,0.739863,0.70991796,0.64906204,0.8567421,0.93975914,0.82788086,0.4453883,0.7232403,1.0,0.8960844
0.6489432,0.6224445,0.60689294,0.68840384,0.6855257,0.54664856,0.6693628,0.60459614,0.5527042,0.68644613,1.0,0.97189516
0.52781814,0.5073629,0.75986105,1.0,0.9617653,0.84535956,0.8176675,0.7656556,0.97488606,0.82378244,0.91751754,0.79267865
0.54436135,0.7770734,1.0,0.77229625,0.7471994,0.8335575,0.5833516,0.59286857,0.50849104,0.67531955,0.8290498,0.56997985
0.79955065,0.9211169,1.0,0.659259,0.39302018,0.6651417,0.5137587,0.7334174,0.8893939,0.8985622,0.6839256,0.74568284
0.42619577,0.48747718,0.93704945,0.9914381,0.712045,1.0,0.8858071,0.6145716,0.54518706,0.74296194,0.95346457,0.74159
0.52794206,0.57996637,0.5627647,0.48725575,0.7155409,1.0,0.6367225,0.43272096,0.5178765,0.60926265,0.6264676,0.6803076
0.484163,0.56861687,0.5424826,0.44218624,0.32429847,0.3231855,0.46808603,0.4644952,0.54047203,0.82222897,1.0,0.5393541
0.69771206,0.83831495,1.0,0.7227293,0.59303015,0.62293047,0.55993795,0.626227,0.5883003,0.4731434,0.7967177,0.85146636
0.5876763,0.59867305,0.78983676,0.5508214,0.5563819,0.7692792,0.48521897,1.0,0.6395517,0.7875752,0.9307852,0.57329416
0.48758122,0.55056226,0.63337404,0.56248224,0.5487645,1.0,0.8134834,0.78805596,0.9018024,0.63497293,0.6406406,0.39889678
0.3224786,0.3675668,0.56777316,0.47329476,0.33407184,0.48265362,1.0,0.81603366,0.5108908,0.4691875,0.53302646,0.39583936
1.0,0.70881903,0.889512,0.9204898,0.5222215,0.59585285,0.669381,0.84980446,0.65930647,0.50077903,0.49829918,0.78556144
0.5300184,0.60134745,1.0,0.8953636,0.5244314,0.42978764,0.5729768,0.6910396,0.9120425,0.55161715,0.48153764,0.59310555
0.2903737,0.19856043,0.34453508,0.37439293,0.31662107,0.35172617,0.7762015,1.0,0.5753922,0.353242,0.28492424,0.2793619
0.45384333,0.57656264,0.61894804,0.5282254,0.5730487,0.7227583,0.8065084,0.7000484,0.7761123,1.0,0.99232703,0.6126987
0.858096,0.85430336,1.0,0.6274756,0.48169532,0.61772454,0.5759465,0.6224088,0.47508252,0.4511121,0.39010203,0.71120626
0.5563581,0.73725784,0.7797292,0.5220413,0.60842603,0.63361806,1.0,0.93962044,0.62457347,0.7663919,0.68922484,0.5924367
0.52562684,0.6421117,0.59394825,0.61458164,0.5567706,0.4679452,0.53578246,0.88908887,1.0,0.94646406,0.5872594,0.5628427
