mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19
-766.779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-766.779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-755.8374,-13.695692,9.1912775,-3.761272,-1.1907853,5.3498015,-8.931943,11.6657505,-12.561109,10.79552,-6.759846,2.0663264,1.6025472,-3.6911702,4.8439293,-5.8643293,6.718357,-6.633032,5.11644,-2.7233555
-740.3054,-32.547005,20.55592,-6.5640936,-5.948887,15.580446,-22.251091,26.080303,-25.712543,19.713247,-10.018805,1.0293187,4.52776,-6.8485703,7.8576612,-9.728338,12.431297,-13.28265,10.724236,-6.500926
-734.6261,-30.414165,22.82831,-11.308672,-4.4487243,17.851828,-25.153992,28.869736,-26.333527,26.93466,-13.568899,5.0845027,2.6348815,-11.862995,16.073967,-18.441956,15.24548,-12.917999,9.507137,-2.6744218
-701.8746,-10.216078,4.6979694,-5.9932065,-9.403481,6.455084,-15.729554,25.104794,-18.59317,30.474606,-8.915636,4.3400044,-2.0308535,-11.7550125,14.845045,-23.532784,15.786913,-15.34449,6.832227,9.328022
-663.92584,-0.29668286,-20.558355,6.1827106,-15.585157,3.9639943,-4.094006,8.424528,-3.3400612,24.657745,-8.922549,4.237273,-0.4560513,-3.9232836,4.963351,-19.035645,9.007776,-10.173679,7.8152723,1.3260272
-626.13165,2.618706,-28.33073,16.353123,-19.045029,10.748646,-3.9963686,-5.6764374,5.207966,12.942907,-9.023307,7.5891953,-5.3844657,-1.8335056,0.8553384,-9.662796,0.76286376,-7.2542377,4.3744245,-3.3295078
-598.2942,10.723753,-29.547194,12.42009,-11.970066,11.727195,-5.783354,-7.8356028,6.5561233,5.4813747,-10.456845,4.173844,-13.690614,-1.0142765,-2.9355233,-7.2025385,-4.5177126,-2.4276886,5.2875395,-2.753232
-587.5335,20.163269,-31.529951,6.907909,-7.2654533,6.4719315,-3.9058259,-6.1782007,1.6235927,4.4629703,-9.0354595,-0.72571385,-11.744663,-2.3305936,-7.474295,-5.132164,-3.74853,-1.1142794,7.2159867,1.9014213
-569.23737,23.892351,-35.151505,7.733586,-8.756491,2.3968468,-1.5832866,-3.914184,3.9703455,8.199816,-3.6901362,2.173807,-2.3311954,-0.27689382,-7.6389027,-3.162765,-4.5775223,-0.85076725,7.0761433,5.047921
-523.4885,4.799803,-28.734684,17.365295,-19.968658,1.9516318,-7.7904415,5.9580455,-1.8101057,18.558472,-2.8145635,0.1699397,4.600704,1.0748825,-14.273563,-7.740958,-4.3073206,-2.9534125,2.999414,7.4439745
-502.12152,-4.883854,-37.95813,29.38708,-22.813063,2.7458878,-3.5947833,-2.3422089,-4.2363076,16.675348,-5.9138417,-6.1568675,2.8744023,0.13410366,-14.895458,-2.6769476,-6.623907,-4.9415483,-1.7922695,4.591345
-495.814,4.2575436,-47.318954,27.020313,-18.29885,3.0975227,2.7831044,-7.7129793,-5.1347556,6.616536,0.020234138,-10.374979,1.7129039,6.1062965,-14.434981,7.628817,-10.145142,-7.886224,-1.2852103,0.72620535
-493.2868,21.86029,-38.49884,11.791682,-14.445874,3.225014,-0.58145666,-0.13254398,-0.089466155,6.554864,1.9254829,-6.541911,-2.9919658,3.6922748,-9.368311,7.348863,-6.826645,-2.576048,1.0320238,1.1321205
-467.69916,9.575536,-28.152756,8.775665,-15.131012,9.5930195,-8.071348,9.750702,-6.6730485,15.465715,-4.8900895,-5.5007358,-9.993418,2.55084,-8.498969,2.961473,-8.786747,-4.691739,2.2428186,3.455571
-453.5451,-2.9210546,-27.477192,15.8596735,-17.31141,9.450739,-10.129097,13.145212,-5.5129986,12.721441,-0.629366,-7.620853,-12.108549,5.7960224,-9.234023,0.24217236,-7.4981337,0.054704458,6.459335,-2.410575
-456.22632,7.7353086,-41.06883,25.18417,-11.564867,3.3996067,-1.6657892,1.1608921,-2.1585824,1.3871512,2.9423263,-12.614609,-8.878313,10.652906,-11.3399105,6.59715,-2.0006351,-3.0954251,6.760806,1.2079235
